<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Ablon 14001
Pleines-Oeuvres 14507=14513
Plumetot 14509
Pont-Bellanger 14511
Pont-d'Ouilly 14764
Pont-Farcy 14513
Pont-l'Évêque 14514
Pontécoulant 14512
Port-en-Bessin-Huppain 14515
Potigny 14516
Poussy-la-Campagne 14517
Préaux-Bocage 14519
Préaux-Saint-Sébastien 14518
Presles 14521
Prêtreville 14522
Proussy 14523
Putot-en-Auge 14524
Putot-en-Bessin 14525
Quesnay-Guesnon 14526=14695
Quetteville 14528
Ranchy 14529
Ranville 14530
Rapilly 14531
Repentigny 14533
Reux 14534
Reviers 14535
Robehomme 14537=14046
Rocquancourt 14538
Rocques 14540
Rosel 14542
Rots 14543
Roucamps 14544
Roullours 14545
Rouvres 14546
Rubercy 14547
Rucqueville 14548
Rully 14549
Rumesnil 14550
Russy 14551
Ryes 14552
Saint-Agnan-le-Malherbe 14553
Saint-Aignan-de-Cramesnil 14554
Saint-André-d'Hébertot 14555
Saint-André-sur-Orne 14556
Saint-Arnoult 14557
Saint-Aubin-d'Arquenay 14558
Saint-Aubin-des-Bois 14559
Saint-Aubin-Lébizay 14560=14231
Saint-Aubin-sur-Algot 14561=14126
Saint-Aubin-sur-Mer 14562
Saint-Benoît-d'Hébertot 14563
Saint-Charles-de-Percy 14564
Saint-Côme-de-Fresné 14565
Saint-Contest 14566
Saint-Crespin 14567=14422
Saint-Cyr-du-Ronceray 14570
Saint-Denis-de-Mailloc 14571
Saint-Denis-de-Méré 14572
Saint-Denis-Maisoncelles 14573
Saint-Désir 14574
Saint-Étienne-la-Thillaye 14575
Saint-Gabriel-Brécy 14577
Saint-Gatien-des-Bois 14578
Saint-Georges-d'Aunay 14579
Saint-Georges-en-Auge 14580
Saint-Germain-d'Ectot 14581
Saint-Germain-de-Livet 14582
Saint-Germain-de-Montgommery 14583
Saint-Germain-du-Crioult 14585
Saint-Germain-du-Pert 14586
Saint-Germain-la-Blanche-Herbe 14587
Saint-Germain-Langot 14588
Saint-Germain-le-Vasson 14589
Saint-Hymer 14593
Saint-Jacques 14594=14366
Saint-Jean-de-Livet 14595
Saint-Jean-des-Essartiers 14596
Saint-Jean-le-Blanc 14597
Saint-Jouin 14598
Saint-Julien-de-Mailloc 14599
Saint-Julien-le-Faucon 14600
Saint-Julien-sur-Calonne 14601
Saint-Lambert 14602
Saint-Laurent-de-Condel 14603
Saint-Laurent-du-Mont 14604
Saint-Laurent-sur-Mer 14605
Saint-Léger-Dubosq 14606
Saint-Louet-sur-Seulles 14607
Saint-Loup-de-Fribois 14608
Saint-Loup-Hors 14609
Saint-Manvieu-Bocage 14611
Saint-Manvieu-Norrey 14610
Saint-Marc-d'Ouilly 14612=14764
Saint-Marcouf 14613
Saint-Martin-aux-Chartrains 14620
Saint-Martin-de-Blagny 14622
Saint-Martin-de-Fontenay 14623
Saint-Martin-de-Fresnay 14624=14697
Saint-Martin-de-la-Lieue 14625
Saint-Martin-de-Mailloc 14626
Saint-Martin-de-Mieux 14627
Saint-Martin-de-Sallen 14628
Saint-Martin-de-Tallevende 14631=14762
Saint-Martin-des-Besaces 14629
Saint-Martin-des-Entrées 14630
Saint-Martin-Don 14632
Saint-Martin-du-Mesnil-Oury 14633
Saint-Michel-de-Livet 14634
Saint-Omer 14635
Saint-Ouen-des-Besaces 14636
Saint-Ouen-du-Mesnil-Oger 14637
Saint-Ouen-le-Houx 14638
Saint-Ouen-le-Pin 14639
Saint-Pair 14640
Saint-Pair-du-Mont 14641=14126
Saint-Paul-de-Courtonne 14642=14194
Saint-Paul-du-Vernay 14643
Saint-Philbert-des-Champs 14644
Saint-Pierre-Azif 14645
Saint-Pierre-Canivet 14646
Saint-Pierre-de-Mailloc 14647
Saint-Pierre-des-Ifs 14648
Saint-Pierre-du-Bû 14649
Saint-Pierre-du-Fresne 14650
Saint-Pierre-du-Jonquet 14651
Saint-Pierre-du-Mont 14652
Saint-Pierre-la-Vieille 14653
Saint-Pierre-sur-Dives 14654
Saint-Pierre-Tarentaine 14655
Saint-Rémy 14656
Saint-Samson 14657
Saint-Sever-Calvados 14658
Saint-Sylvain 14659
Saint-Vaast-en-Auge 14660
Saint-Vaast-sur-Seulles 14661
Saint-Vigor-des-Mézerets 14662
