<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Plancher-les-Mines 70414
Polaincourt-et-Clairefontaine 70415
Pomoy 70416
Pont-du-Bois 70419
Pont-sur-l'Ognon 70420
Pontcey 70417
Port-sur-Saône 70421
Poyans 70422
Preigney 70423
Presle 70424=70197
Provenchère 70426
Purgerot 70427
Pusey 70428
Pusy-et-Épenoux 70429
Quenoche 70431
Quers 70432
Quincey 70433
Quitteur 70434=70058
Raddon-et-Chapendu 70435
Raincourt 70436
Ranzevelle 70437
Ray-sur-Saône 70438
Raze 70439
Recologne 70440
Recologne-lès-Rioz 70441
Renaucourt 70442
Rignovelle 70445
Rigny 70446
Rioz 70447
Roche-et-Raucourt 70448
Ronchamp 70451
Rosey 70452
Rosières-sur-Mance 70454
Roye 70455
Ruhans 70456
Rupt-sur-Saône 70457
Saint-Andoche 70458=70247
Saint-Barthélemy 70459
Saint-Bresson 70460
Saint-Broing 70461
Saint-Ferjeux 70462
Saint-Gand 70463
Saint-Germain 70464
Saint-Julien 70465=70373
Saint-Loup-Nantouard 70466
Saint-Loup-sur-Semouse 70467
Saint-Marcel 70468
Saint-Remy 70472
Saint-Sauveur 70473
Saint-Sulpice 70474
Saint-Valbert 70475
Sainte-Marie-en-Chanois 70469
Sainte-Marie-en-Chaux 70470
Sainte-Reine 70471
Saponcourt 70476
Saulnot 70477
Saulx 70478
Sauvigney-lès-Gray 70479
Sauvigney-lès-Pesmes 70480
Savoyeux 70481
Scey-sur-Saône-et-Saint-Albin 70482
Scye 70483
Secenans 70484
Selles 70485
Semmadon 70486
Senargent-Mignafans 70487
Senoncourt 70488
Servance 70489
Servigney 70490
Seveux 70491
Soing-Cubry-Charentenay 70492
Sorans-lès-Breurey 70493
Sornay 70494
Suaucourt-et-Pisseloup 70495=70373
Tartécourt 70496
Tavey 70497
Ternuay-Melay-et-Saint-Hilaire 70498
Theuley 70499
Thieffrans 70500
Thiénans 70501
Tincey-et-Pontrebeau 70502
Traitiéfontaine 70503
Traves 70504
Trémoins 70506
Trésilley 70507
Trevey 70508=70197
Tromarey 70509
Vadans 70510
Vaite 70511
Vaivre-et-Montoille 70513
Valay 70514
Vallerois-le-Bois 70516
Vallerois-Lorioz 70517
Vandelans 70519
Vanne 70520
Vantoux-et-Longevelle 70521
Varogne 70522
Vars 70523
Vauchoux 70524
Vauconcourt-Nervezain 70525
Vauvillers 70526
Vaux-le-Moncelot 70527
Velesmes-Échevanne 70528
Velet 70529
Velle-le-Châtel 70536
Vellechevreux-et-Courbenans 70530
Velleclaire 70531
Vellefaux 70532
Vellefrey-et-Vellefrange 70533
Vellefrie 70534
Velleguindry-et-Levrecey 70535
Velleminfroy 70537
Vellemoz 70538
Vellexon-Queutrey-et-Vaudey 70539
Velloreille-lès-Choye 70540
Velorcey 70541
Venère 70542
Venisey 70545
Verchamp 70543=70309
Vereux 70546
Verlans 70547
Vernois-sur-Mance 70548
Vesoul 70550
Vezet 70551
Villafans 70552
Villargent 70553
Villars-le-Pautel 70554
Villefrancon 70557
Villeparois 70559
Villers-Bouton 70560
Villers-la-Ville 70562
Villers-le-Sec 70563
Villers-lès-Luxeuil 70564
Villers-Pater 70565
Villers-sur-Port 70566
Villers-sur-Saulnot 70567
Villers-Vaudey 70568
Villersexel 70561
Vilory 70569
Virey 70570=70045
Visoncourt 70571
Vitrey-sur-Mance 70572
Volon 70574
Voray-sur-l'Ognon 70575
Vougécourt 70576
Vouhenans 70577
Vregille 70578
Vy-le-Ferroux 70580
Vy-lès-Filain 70583
Vy-lès-Lure 70581
Vy-lès-Rupt 70582
Vyans-le-Val 70579
