<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Ormoy-Villers 60479
Oroër 60480
Orrouy 60481
Orry-la-Ville 60482
Orvillers-Sorel 60483
Oudeuil 60484
Ourcel-Maison 60485
Paillart 60486
Parnes 60487
Passel 60488
Péroy-les-Gombries 60489
Pierrefitte-en-Beauvaisis 60490
Pierrefonds 60491
Pimprez 60492
Pisseleu 60493
Plailly 60494
Plainval 60495
Plainville 60496
Plessis-de-Roye 60499
Ponchon 60504
Pont-l'Évêque 60506
Pont-Sainte-Maxence 60509
Pontarmé 60505
Pontoise-lès-Noyon 60507
Pontpoint 60508
Porcheux 60510
Porquéricourt 60511
Pouilly 60512
Précy-sur-Oise 60513
Prévillers 60514
Pronleroy 60515
Puiseux-en-Bray 60516
Puiseux-le-Hauberger 60517
Puits-la-Vallée 60518
Quesmy 60519
Quincampoix-Fleuzy 60521
Quinquempoix 60522
Rainvillers 60523
Rantigny 60524
Raray 60525
Ravenel 60526
Réez-Fosse-Martin 60527
Reilly 60528
Rémécourt 60529
Rémérangles 60530
Remy 60531
Ressons-l'Abbaye 60532
Ressons-sur-Matz 60533
Rethondes 60534
Reuil-sur-Brêche 60535
Rhuis 60536
Ribécourt-Dreslincourt 60537
Ricquebourg 60538
Rieux 60539
Rivecourt 60540
Roberval 60541
Rochy-Condé 60542
Rocquemont 60543
Rocquencourt 60544
Romescamps 60545
Rosières 60546
Rosoy 60547
Rosoy-en-Multien 60548
Rotangy 60549
Rothois 60550
Rousseloy 60551
Rouville 60552
Rouvillers 60553
Rouvres-en-Multien 60554
Rouvroy-les-Merles 60555
Roy-Boissy 60557
Royaucourt 60556
Roye-sur-Matz 60558
Rully 60560
Russy-Bémont 60561
Sacy-le-Grand 60562
Sacy-le-Petit 60563
Sains-Morainvillers 60564
Saint-André-Farivillers 60565
Saint-Arnoult 60566
Saint-Aubin-en-Bray 60567
Saint-Aubin-sous-Erquery 60568
Saint-Crépin-aux-Bois 60569
Saint-Crépin-Ibouvillers 60570
Saint-Deniscourt 60571
Saint-Étienne-Roilaye 60572
Saint-Félix 60574
Saint-Germain-la-Poterie 60576
Saint-Germer-de-Fly 60577
Saint-Jean-aux-Bois 60579
Saint-Just-des-Marais 60580=60057
Saint-Just-en-Chaussée 60581
Saint-Léger-aux-Bois 60582
