<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Soudron 51556
Soulanges 51557
Soulières 51558
Suippes 51559
Suizy-le-Franc 51560
Tahure 51561=51544
Taissy 51562
Talus-Saint-Prix 51563
Tauxières-Mutry 51564
Thaas 51565
Thibie 51566
Thiéblemont-Farémont 51567
Thil 51568
Thillois 51569
Tilloy-et-Bellay 51572
Tinqueux 51573
Togny-aux-Boeufs 51574
Toulon-la-Montagne 51575=51611
Tours-sur-Marne 51576
Tramery 51577
Trécon 51578
Tréfols 51579
Trépail 51580
Treslon 51581
Trigny 51582
Trois-Fontaines-l'Abbaye 51583
Trois-Puits 51584
Troissy 51585
Unchair 51586
Vadenay 51587
Val-de-Vesle 51571
Val-de-Vière 51218
Val-des-Marais 51158
Valmy 51588
Vanault-le-Châtel 51589
Vanault-les-Dames 51590
Vandeuil 51591
Vandières 51592
Varimont 51593=51214
Vassimont-et-Chapelaine 51594
Vatry 51595
Vauchamps 51596
Vauciennes 51597
Vauclerc 51598
Vaudemange 51599
Vaudesincourt 51600
Vavray-le-Grand 51601
Vavray-le-Petit 51602
Vélye 51603
Ventelay 51604
Venteuil 51605
Verdey 51606=51235
Verdon 51607
Vernancourt 51608
Verneuil 51609
Verrières 51610
Vert-Toulon 51611
Vertus 51612
Verzenay 51613
Verzy 51614
Vésigneul-sur-Coole 51615=51244
Vésigneul-sur-Marne 51616
Vienne-la-Ville 51620
Vienne-le-Château 51621
Ville-Dommange 51622
Ville-en-Selve 51623
Ville-en-Tardenois 51624
Ville-sur-Tourbe 51640
Villeneuve-la-Lionne 51625
Villeneuve-Renneville-Chevigny 51627
Villers-Allerand 51629
Villers-aux-Bois 51630
Villers-aux-Noeuds 51631
Villers-en-Argonne 51632
Villers-Franqueux 51633
Villers-le-Château 51634
Villers-le-Sec 51635
Villers-Marmery 51636
Villers-sous-Châtillon 51637
Villeseneux 51638
Villevenard 51641
Villiers-aux-Corneilles 51642
Vinay 51643
Vincelles 51644
Vindey 51645
Virginy 51646
Vitry-en-Perthois 51647
Vitry-la-Ville 51648
Vitry-le-François 51649
Voilemont 51650
Voipreux 51651
Vouarces 51652
Vouciennes 51653=51648
Vouillers 51654
Vouzy 51655
Vraux 51656
Vrigny 51657
Vroil 51658
Wargemoulin-Hurlus 51659
Warmeriville 51660
Wez 51661=51571
Witry-lès-Reims 51662
