<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Saint-Hilaire-sur-Erre 61405
Saint-Hilaire-sur-Risle 61406
Saint-Jean-de-la-Forêt 61409
Saint-Jean-des-Bois 61410
Saint-Jouin-de-Blavou 61411
Saint-Julien-sur-Sarthe 61412
Saint-Lambert-sur-Dive 61413
Saint-Langis-lès-Mortagne 61414
Saint-Léger-sur-Sarthe 61415
Saint-Léonard-des-Parcs 61416
Saint-Loyer-des-Champs 61417
Saint-Mard-de-Réno 61418
Saint-Mars-d'Égrenne 61421
Saint-Martin-d'Écublei 61423
Saint-Martin-des-Landes 61424
Saint-Martin-des-Pézerits 61425
Saint-Martin-du-Vieux-Bellême 61426
Saint-Martin-l'Aiguillon 61427
Saint-Maurice-du-Désert 61428
Saint-Maurice-lès-Charencey 61429
Saint-Maurice-sur-Huisne 61430
Saint-Michel-des-Andaines 61431
Saint-Michel-Tuboeuf 61432
Saint-Nicolas-de-Sommaire 61435
Saint-Nicolas-des-Bois 61433
Saint-Nicolas-des-Laitiers 61434
Saint-Ouen-de-la-Cour 61437
Saint-Ouen-de-Sécherouvre 61438
Saint-Ouen-le-Brisoult 61439
Saint-Ouen-sur-Iton 61440
Saint-Ouen-sur-Maire 61441
Saint-Patrice-du-Désert 61442
Saint-Paul 61443
Saint-Philbert-sur-Orne 61444
Saint-Pierre-d'Entremont 61445
Saint-Pierre-des-Loges 61446
Saint-Pierre-du-Regard 61447
Saint-Pierre-la-Bruyère 61448
Saint-Pierre-la-Rivière 61449
Saint-Quentin-de-Blavou 61450
Saint-Quentin-les-Chardonnets 61451
Saint-Roch-sur-Égrenne 61452
Saint-Sauveur-de-Carrouges 61453
Saint-Siméon 61455
Saint-Sulpice-sur-Risle 61456
Saint-Symphorien-des-Bruyères 61457
Saint-Victor-de-Réno 61458
Sainte-Céronne-lès-Mortagne 61373
Sainte-Croix-sur-Orne 61378
Sainte-Gauburge-Sainte-Colombe 61389
Sainte-Honorine-la-Chardonne 61407
Sainte-Honorine-la-Guillaume 61408
Sainte-Marguerite-de-Carrouges 61419
Sainte-Marie-la-Robert 61420
Sainte-Opportune 61436
Sainte-Scolasse-sur-Sarthe 61454
Saires-la-Verrerie 61459
Sarceaux 61462
Sées 61464
Ségrie-Fontaine 61465
Semallé 61467
Sentilly 61468
Sept-Forges 61469
Serans 61470
Sérigny 61471
Sévigny 61472
Sevrai 61473
Silly-en-Gouffern 61474
Soligny-la-Trappe 61475
Suré 61476
Survie 61477
Taillebois 61478
Tanques 61479
Tanville 61480
Tellières-le-Plessis 61481
Tessé-Froulay 61482
Ticheville 61485
Tinchebray 61486
Torchamp 61487
Touquettes 61488
Tournai-sur-Dive 61490
Tourouvre 61491
Trémont 61492
Trun 61494
Tuboeuf 61495=61432
Urou-et-Crennes 61496
Valframbert 61497
Vaunoise 61498
Verrières 61501
Vidai 61502
Vieux-Pont 61503
Villebadin 61504
Villedieu-lès-Bailleul 61505
Villers-en-Ouche 61506
Villiers-sous-Mortagne 61507
Vimoutiers 61508
Vingt-Hanaps 61509
Vitrai-sous-Laigle 61510
Vrigny 61511
Yvrandes 61513
