<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Maisons-du-Bois-Lièvremont 25357
Malans 25359
Malbrans 25360
Malbuisson 25361
Malpas 25362
Mambouhans 25363=25187
Mamirolle 25364
Mancenans 25365
Mancenans-Lizerne 25366
Mandeure 25367
Marchaux 25368
Marvelise 25369
Mathay 25370
Mazerolles-le-Salin 25371
Médière 25372
Mercey-le-Grand 25374
Mérey-sous-Montrond 25375
Mérey-Vieilley 25376
Mésandans 25377
Meslières 25378
Mesmay 25379
Métabief 25380
Miserey-Salines 25381
Moncey 25382
Moncley 25383
Mondon 25384
Mont-de-Laval 25391
Mont-de-Vougney 25392
Montagney-Servigney 25385
Montancy 25386
Montandon 25387
Montbéliard 25388
Montbéliardot 25389
Montbenoît 25390
Montécheroux 25393
Montenois 25394
Montfaucon 25395
Montferney 25396=25505
Montferrand-le-Château 25397
Montflovin 25398
Montfort 25399
Montgesoye 25400
Montivernage 25401
Montjoie-le-Château 25402
Montlebon 25403
Montmahoux 25404
Montperreux 25405
Montrond-le-Château 25406
Montursin 25407=25275
Montussaint 25408
Morchamps 25409=25505
Morre 25410
Morteau 25411
Mouillevillers 25412=25519
Mouthe 25413
Mouthier-Haute-Pierre 25415
Myon 25416
Naisey-les-Granges 25417
Nancray 25418
Nans 25419
Nans-sous-Sainte-Anne 25420
Narbief 25421
Neuchâtel-Urtière 25422
Neuvier 25423=25138
Nods 25424
Noël-Cerneux 25425
Noirefontaine 25426
Noironte 25427
Nommay 25428
Novillars 25429
Ollans 25430
Onans 25431
Orchamps-Vennes 25432
Orgeans-Blanchefontaine 25433
Ornans 25434
Orsans 25435
Orve 25436
Osse 25437
Osselle 25438
Ougney-Douvot 25439
Ouhans 25440
Ouvans 25441
Oye-et-Pallet 25442
Palantine 25443
Palise 25444
Paroy 25445
Passavant 25446
Passonfontaine 25447
Pelousey 25448
Péseux 25449
Pessans 25450
Petite-Chaux 25451
Pierrefontaine-lès-Blamont 25452
Pierrefontaine-les-Varans 25453
Pirey 25454
Placey 25455
Plaimbois-du-Miroir 25456
Plaimbois-Vennes 25457
Pointvillers 25460
Pompierre-sur-Doubs 25461
Pont-de-Roide 25463
Pont-les-Moulins 25465
Pontarlier 25462
Pouilley-Français 25466
Pouilley-les-Vignes 25467
Pouligney-Lusans 25468
Présentevillers 25469
Provenchère 25471
Puessans 25472
Pugey 25473
Quingey 25475
Rahon 25476
Rancenay 25477
Randevillers 25478
Rang 25479
Rantechaux 25480
Raynans 25481
Recologne 25482
Reculfoz 25483
Refranche 25484=25223
Rémondans-Vaivre 25485
Remoray-Boujeons 25486
Renédale 25487
Rennes-sur-Loue 25488
Reugney 25489
Rigney 25490
Rignosot 25491
Rillans 25492
Roche-lès-Clerval 25496
Roche-lez-Beaupré 25495
Rochejean 25494
Roches-lès-Blamont 25497
Rognon 25498
Romain 25499
Ronchaux 25500
Rondefontaine 25501
Roset-Fluans 25502
Rosières-sur-Barbèche 25503
Rosureux 25504
Rougemont 25505
Rougemontot 25506
Rouhe 25507
Roulans 25508
Routelle 25509
Ruffey-le-Château 25510
Rurey 25511
Saint-Antoine 25514
Saint-Georges-Armont 25516
Saint-Gorgon-Main 25517
Saint-Hilaire 25518
Saint-Hippolyte 25519
Saint-Juan 25520
Saint-Julien-lès-Montbéliard 25521
Saint-Julien-lès-Russey 25522
Saint-Maurice-Colombier 25524
Saint-Point-Lac 25525
Saint-Vit 25527
Sainte-Anne 25513
Sainte-Colombe 25515
Sainte-Marie 25523
Sainte-Suzanne 25526
Samson 25528
Sancey-le-Grand 25529
Sancey-le-Long 25530
Santoche 25531
Saône 25532
Saraz 25533
Sarrageois 25534
Saules 25535
Sauvagney 25536
Scey-Maisières 25537
Séchin 25538
Seloncourt 25539
Semondans 25540
Septfontaines 25541
Serre-les-Sapins 25542
Servigney 25543=25385
Servin 25544
Silley-Amancey 25545
Silley-Bléfond 25546
Sochaux 25547
Solemont 25548
Sombacour 25549
Soulce-Cernay 25551
Sourans 25552
Soye 25553
Surmont 25554
Taillecourt 25555
Tallans 25556
Tallenay 25557
Tarcenay 25558
Thiébouhans 25559
Thise 25560
Thoraise 25561
Thulay 25562
Thurey-le-Mont 25563
Torpes 25564
Touillon-et-Loutelet 25565
Tournans 25567
Tournedoz 25568=25018
Trépot 25569
Tressandans 25570
Trévillers 25571
Trouvans 25572
Urtière 25573
Uzelle 25574
Vaire-Arcier 25575
Vaire-le-Petit 25576
Vaivre 25577=25485
Val-de-Roulans 25579
Valdahon 25578
Valentigney 25580
Valentin 25581=25212
Valleroy 25582
Valonne 25583
Valoreille 25584
Vanclans 25585
Vandoncourt 25586
Vauchamps 25587
Vaucluse 25588
Vauclusotte 25589
Vaudrivillers 25590
Vaufrey 25591
Vaux-et-Chantegrue 25592
Vaux-les-Prés 25593
Velesmes-Essarts 25594
Vellerot-lès-Belvoir 25595
Vellerot-lès-Vercel 25596
Vellevans 25597
Venise 25598
Vennans 25599
Vennes 25600
Vercel-Villedieu-le-Camp 25601
Vergranne 25602
Vermondans 25603=25463
Verne 25604
Vernierfontaine 25605
Vernois-le-Fol 25606=25275
Vernois-lès-Belvoir 25607
Verrières-de-Joux 25609
Verrières-du-Grosbois 25610
Vieilley 25612
Viéthorey 25613
Vieux-Charmont 25614
Villars-lès-Blamont 25615
Villars-Saint-Georges 25616
Villars-sous-Dampjoux 25617
Villars-sous-Écot 25618
Ville-du-Pont 25620
Villedieu-le-Camp 25636=25601
Villeneuve-d'Amont 25621
Villers-Buzon 25622
Villers-Chief 25623
Villers-Grélot 25624
Villers-la-Combe 25625
Villers-le-Lac 25321
Villers-Saint-Martin 25626
Villers-sous-Chalamont 25627
Villers-sous-Montrond 25628
Voillans 25629
Voires 25630
Vorges-les-Pins 25631
Voujeaucourt 25632
Vuillafans 25633
Vuillecin 25634
Vyt-lès-Belvoir 25635
