<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Saint-Pierre-le-Vieux 71469
Saint-Point 71470
Saint-Privé 71471
Saint-Prix 71472
Saint-Racho 71473
Saint-Rémy 71475
Saint-Romain-des-Îles 71476=71481
Saint-Romain-sous-Gourdon 71477
Saint-Romain-sous-Versigny 71478
Saint-Sernin-du-Bois 71479
Saint-Sernin-du-Plain 71480
Saint-Symphorien-d'Ancelles 71481
Saint-Symphorien-de-Marmagne 71482
Saint-Symphorien-des-Bois 71483
Saint-Usuge 71484
Saint-Vallerin 71485
Saint-Vallier 71486
Saint-Vérand 71487
Saint-Vincent-Bragny 71490
Saint-Vincent-des-Prés 71488
Saint-Vincent-en-Bresse 71489
Saint-Yan 71491
Saint-Ythaire 71492
Sainte-Cécile 71397
Sainte-Croix 71401
Sainte-Foy 71415
Sainte-Hélène 71426
Sainte-Radegonde 71474
Saisy 71493
Salornay-sur-Guye 71495
Sampigny-lès-Maranges 71496
Sancé 71497
Santilly 71498
Sanvignes-les-Mines 71499
Sarry 71500
Sassangy 71501
Sassenay 71502
Saules 71503
Saunières 71504
Savianges 71505
Savigny-en-Revermont 71506
Savigny-sur-Grosne 71507
Savigny-sur-Seille 71508
Semur-en-Brionnais 71510
Sennecé-lès-Mâcon 71511=71270
Sennecey-le-Grand 71512
Senozan 71513
Sens-sur-Seille 71514
Sercy 71515
Serley 71516
Sermesse 71517
Serrières 71518
Serrigny-en-Bresse 71519
Sevrey 71520
Sigy-le-Châtel 71521
Simandre 71522
Simard 71523
Sivignon 71524
Sologny 71525
Solutré-Pouilly 71526
Sommant 71527
Sornay 71528
Suin 71529
Sully 71530
Taizé 71532
Tancon 71533
Tavernay 71535
Terrans 71536=71351
Thil-sur-Arroux 71537
Thurey 71538
Tintry 71539
Torcy 71540
Torpes 71541
Toulon-sur-Arroux 71542
Tournus 71543
Toutenant 71544
Tramayes 71545
Trambly 71546
Trivy 71547
Tronchy 71548
Uchizy 71550
Uchon 71551
Uxeau 71552
Vareilles 71553
Varenne-l'Arconce 71554
Varenne-Saint-Germain 71557
Varenne-sur-le-Doubs 71560=71101
Varennes-le-Grand 71555
Varennes-lès-Mâcon 71556
Varennes-Saint-Sauveur 71558
Varennes-sous-Dun 71559
Vauban 71561
Vaudebarrier 71562
Vaux-en-Pré 71563
Vendenesse-lès-Charolles 71564
Vendenesse-sur-Arroux 71565
Verdun-sur-le-Doubs 71566
Vergisson 71567
Vérissey 71568
Vérizet 71569=71584
Verjux 71570
Verosvres 71571
Vers 71572
Versaugues 71573
Verzé 71574
Vigny-lès-Paray 71575=71176
Villegaudin 71577
Villeneuve-en-Montagne 71579
Vincelles 71580
Vindecy 71581
Vinzelles 71583
Viré 71584
Virey-le-Grand 71585
Viry 71586
Vitry-en-Charollais 71588
Vitry-lès-Cluny 71587
Vitry-sur-Loire 71589
Volesvres 71590
