"Level";"Country";"State";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;AUS;Western AUS;Dardanup;;115.75;-33.4;6;
2;AUS;Western AUS;Darkan;;116.7333333;-33.3333333;6;
2;AUS;Western AUS;Darkin;;116.2666667;-32.05;6;
2;AUS;Western AUS;Darlington;;116.0833333;-31.9166667;6;
2;AUS;Western AUS;Datatine;;117.9166667;-33.4666667;6;
2;AUS;Western AUS;Daveyhurst;;120.6333333;-30.05;6;
2;AUS;Western AUS;Davyhurst;;120.6333333;-30.05;6;
2;AUS;Western AUS;Day Dawn;;117.85;-27.4833333;6;
2;AUS;Western AUS;Deanmill;;116.0833333;-34.25;6;
2;AUS;Western AUS;Deeside Homestead;;116.4166667;-34.4;6;
2;AUS;Western AUS;Deeside;;116.4166667;-34.4;6;
2;AUS;Western AUS;Denham;;113.5422222;-25.9333333;6;
2;AUS;Western AUS;Denison;;114.9166667;-29.2833333;6;
2;AUS;Western AUS;Denmark;;117.35;-34.95;6;
2;AUS;Western AUS;Derby;;123.9666667;-17.3;6;
2;AUS;Western AUS;Desmond;;120.1833333;-33.6333333;6;
2;AUS;Western AUS;Devan Find Mining Centre;;119.4;-22.9;6;
2;AUS;Western AUS;Devans Find Mining Centre;;119.4;-22.9;6;
2;AUS;Western AUS;Devans Find;;119.4;-22.9;6;
2;AUS;Western AUS;Dewars Pool;;116.4333333;-31.4833333;6;
2;AUS;Western AUS;Dindiloa;;114.8;-28.45;6;
2;AUS;Western AUS;Dinninup;;116.55;-33.8166667;6;
2;AUS;Western AUS;Doconing;;116.3;-31.85;6;
2;AUS;Western AUS;Dongara;;114.9333333;-29.25;6;
2;AUS;Western AUS;Dongarra;;114.9333333;-29.25;6;
2;AUS;Western AUS;Dongolocking;;117.8166667;-33.1333333;6;
2;AUS;Western AUS;Donnybrook;;115.8166667;-33.5833333;6;
2;AUS;Western AUS;Doodenanning;;117.15;-31.8666667;6;
2;AUS;Western AUS;Doodlakine;;117.85;-31.5833333;6;
2;AUS;Western AUS;Doombup;;122.0333333;-33.8166667;6;
2;AUS;Western AUS;Dornock;;118.5833333;-32.8;6;
2;AUS;Western AUS;Dowak;;121.55;-32.9;6;
2;AUS;Western AUS;Dowerin;;117.0333333;-31.2;6;
2;AUS;Western AUS;Drummond Cove;;114.6116667;-28.6716667;6;
2;AUS;Western AUS;Dryandra;;116.9666667;-32.7666667;6;
2;AUS;Western AUS;Dudawa;;115.7166667;-29.3833333;6;
2;AUS;Western AUS;Dudinin;;117.9;-32.8833333;6;
2;AUS;Western AUS;Duggan;;118.15;-33.15;6;
2;AUS;Western AUS;Dukin;;117.4166667;-30.95;6;
2;AUS;Western AUS;Dulbelling;;117.2666667;-32.05;6;
2;AUS;Western AUS;Dumbleyung;;117.7333333;-33.3166667;6;
2;AUS;Western AUS;Dundas;;121.7666667;-32.4;6;
2;AUS;Western AUS;Dunnsville;;120.8833333;-30.6333333;6;
2;AUS;Western AUS;Dunsborough;;115.0833333;-33.5833333;6;
2;AUS;Western AUS;Duranillin;;116.7833333;-33.5166667;6;
2;AUS;Western AUS;Duranilling;;116.7833333;-33.5166667;6;
2;AUS;Western AUS;Duri;;120.2;-31.2166667;6;
2;AUS;Western AUS;Dwarda;;116.6666667;-32.7666667;6;
2;AUS;Western AUS;Dwellingup;;116.0666667;-32.7166667;6;
2;AUS;Western AUS;East Arthur;;117.05;-33.4333333;6;
2;AUS;Western AUS;East Beverley;;117.0166667;-32.0333333;6;
2;AUS;Western AUS;East Fremantle;;115.7666667;-32.0388889;6;
2;AUS;Western AUS;East Kirup Mill;;116.05;-33.7;6;
2;AUS;Western AUS;East Knodut;;116.9;-30.6833333;6;
2;AUS;Western AUS;East Popanyinning;;117.25;-32.6333333;6;
2;AUS;Western AUS;East Wickepin;;117.65;-32.7833333;6;
2;AUS;Western AUS;East Witchcliffe;;115.1166667;-34.0166667;6;
2;AUS;Western AUS;Eastbrook;;116.1;-34.4;6;
2;AUS;Western AUS;Eastern Creek Mining Centre;;120.6166667;-21.6833333;6;
2;AUS;Western AUS;Eastern Creek;;120.6166667;-21.6833333;6;
2;AUS;Western AUS;Eaton;;115.7166667;-33.3166667;6;
2;AUS;Western AUS;Ejanding;;117.1166667;-31.0333333;6;
2;AUS;Western AUS;Elabbin;;118.1333333;-31.2333333;6;
2;AUS;Western AUS;Elleker;;117.7302778;-35.0091667;6;
2;AUS;Western AUS;Elphin;;116.6666667;-30.85;6;
2;AUS;Western AUS;Emu Hill;;118.35;-32.1166667;6;
2;AUS;Western AUS;Emu Point;;117.9380556;-34.9983333;6;
2;AUS;Western AUS;Esperance;;121.9;-33.8666667;6;
2;AUS;Western AUS;Eucla Telegraph Office;;128.8666667;-31.7166667;6;
2;AUS;Western AUS;Eucla;;128.8666667;-31.7166667;6;
2;AUS;Western AUS;Eujinyn;;118.05;-31.9;6;
2;AUS;Western AUS;Eundyne;;121.8;-31.7833333;6;
2;AUS;Western AUS;Eundynie;;121.8;-31.7833333;6;
2;AUS;Western AUS;Ewlyamartup;;117.7333333;-33.7;6;
2;AUS;Western AUS;Exmouth;;114.1333333;-21.9333333;6;
2;AUS;Western AUS;Eyre;;126.3;-32.25;6;
2;AUS;Western AUS;Falcondale;;118.2833333;-33.3;6;
2;AUS;Western AUS;Field Finds;;117.2666667;-29.0333333;6;
2;AUS;Western AUS;Fields Find;;117.2666667;-29.0333333;6;
2;AUS;Western AUS;Fitzroy Crossing;;125.5833333;-18.1833333;6;
2;AUS;Western AUS;Fitzroy;;125.5833333;-18.1833333;6;
2;AUS;Western AUS;Flat Rocks;;117.3833333;-33.95;6;
2;AUS;Western AUS;Flinders Bay;;115.1666667;-34.35;6;
2;AUS;Western AUS;Forest Grove;;115.0833333;-34.0666667;6;
2;AUS;Western AUS;Formby;;118.05;-33.9666667;6;
2;AUS;Western AUS;Forrest;;128.1;-30.85;6;
2;AUS;Western AUS;Frankland;;117.0666667;-34.3666667;6;
2;AUS;Western AUS;Fremantle;;115.7666667;-32.05;6;
2;AUS;Western AUS;Gabalong;;116.3833333;-30.7166667;6;
2;AUS;Western AUS;Gabanintha;;118.6333333;-26.9333333;6;
2;AUS;Western AUS;Gabbin;;117.6833333;-30.8;6;
2;AUS;Western AUS;Galena;;114.6833333;-27.8333333;6;
2;AUS;Western AUS;Garden Gully;;118.45;-26.4666667;6;
2;AUS;Western AUS;Garratt;;119.25;-31.2666667;6;
2;AUS;Western AUS;Gascoyne Junction;;115.2166667;-25.05;6;
2;AUS;Western AUS;Geeralying;;117.0333333;-32.9833333;6;
2;AUS;Western AUS;Geraldton;;114.6;-28.7666667;6;
2;AUS;Western AUS;Ghooli;;119.45;-31.25;6;
2;AUS;Western AUS;Gibson;;121.8;-33.65;6;
2;AUS;Western AUS;Gilgai;;119.9333333;-31.25;6;
2;AUS;Western AUS;Gilgering;;116.8;-32.0166667;6;
2;AUS;Western AUS;Gillingarra;;116.05;-30.9333333;6;
2;AUS;Western AUS;Gingin;;115.9;-31.35;6;
2;AUS;Western AUS;Gladstone;;114.25;-25.9333333;6;
2;AUS;Western AUS;Glenlynn;;116.15;-34;6;
2;AUS;Western AUS;Gnarming;;118.2;-32.6166667;6;
2;AUS;Western AUS;Gnowangerup;;117.9833333;-33.9333333;6;
2;AUS;Western AUS;Gnows Nest;;116.8666667;-28.5666667;6;
2;AUS;Western AUS;Goldsworthy;;119.5333333;-20.35;6;
2;AUS;Western AUS;Goodia;;121.6833333;-32.4;6;
2;AUS;Western AUS;Goomalling;;116.8166667;-31.3166667;6;
2;AUS;Western AUS;Goomarin;;118.4;-31.2333333;6;
2;AUS;Western AUS;Goongarrie;;121.15;-30.05;6;
2;AUS;Western AUS;Gooseberry Hill;;116.05;-31.95;6;
2;AUS;Western AUS;Gorge Rock;;117.9333333;-32.45;6;
2;AUS;Western AUS;Gosnells;;116;-32.0833333;6;
2;AUS;Western AUS;Graball;;118.5666667;-32.0333333;6;
2;AUS;Western AUS;Gramphorne;;118.55;-31.8333333;6;
2;AUS;Western AUS;Grants Patch;;121.1166667;-30.45;6;
2;AUS;Western AUS;Grasmere;;117.7555556;-35.0180556;6;
2;AUS;Western AUS;Grass Patch;;121.7166667;-33.2333333;6;
2;AUS;Western AUS;Grass Valley;;116.8;-31.65;6;
2;AUS;Western AUS;Grassmere;;117.7555556;-35.0180556;6;
2;AUS;Western AUS;Green Head;;114.9672222;-30.0716667;6;
2;AUS;Western AUS;Greenbushes;;116.05;-33.85;6;
2;AUS;Western AUS;Greenhills;;116.9666667;-31.9333333;6;
2;AUS;Western AUS;Greenmount;;116.05;-31.9;6;
2;AUS;Western AUS;Greenough;;114.7333333;-28.95;6;
2;AUS;Western AUS;Greylands;;115.7791667;-31.9736111;6;
2;AUS;Western AUS;Gudarra;;121.3333333;-30.4833333;6;
2;AUS;Western AUS;Guilderton;;115.5013889;-31.35;6;
2;AUS;Western AUS;Guildford;;115.9666667;-31.9;6;
2;AUS;Western AUS;Gunyidi;;116.0666667;-30.1333333;6;
2;AUS;Western AUS;Gutha;;115.9333333;-28.9833333;6;
2;AUS;Western AUS;Gwambygine;;116.8;-31.9833333;6;
2;AUS;Western AUS;Haig;;126.0833333;-31.0166667;6;
2;AUS;Western AUS;Hakea;;116.2833333;-32.9333333;6;
2;AUS;Western AUS;Halls Creek;;127.7666667;-18.2666667;6;
2;AUS;Western AUS;Hamel;;115.9166667;-32.8833333;6;
2;AUS;Western AUS;Hamelin Bay;;115.0166667;-34.225;6;
2;AUS;Western AUS;Hamersley;;116.7166667;-31.7666667;6;
2;AUS;Western AUS;Harewood;;117.25;-34.9166667;6;
2;AUS;Western AUS;Harrismith;;117.8666667;-32.9333333;6;
2;AUS;Western AUS;Harvey;;115.9;-33.0833333;6;
2;AUS;Western AUS;Haynesdale;;117.0833333;-34.2833333;6;
2;AUS;Western AUS;Hedges;;118.35;-32.1666667;6;
2;AUS;Western AUS;Herne Hill;;116.0166667;-31.8333333;6;
2;AUS;Western AUS;Hester;;116.15;-33.9;6;
2;AUS;Western AUS;Higginsville;;121.7166667;-31.75;6;
2;AUS;Western AUS;Highbury;;117.25;-33.0666667;6;
2;AUS;Western AUS;Hines Hill;;118.0833333;-31.5333333;6;
2;AUS;Western AUS;Hoddy Well;;116.4833333;-31.6333333;6;
2;AUS;Western AUS;Hoffmans Mill;;116.0833333;-33;6;
2;AUS;Western AUS;Holdens Find;;118.5666667;-25.9166667;6;
2;AUS;Western AUS;Holleton;;119.0333333;-31.95;6;
2;AUS;Western AUS;Holly;;117.4833333;-33.8;6;
2;AUS;Western AUS;Holt Rock;;119.4166667;-32.6666667;6;
2;AUS;Western AUS;Holyoake;;116.0833333;-32.7166667;6;
2;AUS;Western AUS;Hopes Hill;;119.2;-31.1833333;6;
2;AUS;Western AUS;Hopetoun;;120.1166667;-33.95;6;
2;AUS;Western AUS;Hopetown;;120.1166667;-33.95;6;
