1;BEL;Winenne;;;E4.8984420000;N50.0996300000;9;
1;BEL;Wancennes;;;E4.9611080000;N50.0912320000;9;
1;BEL;Vonêche;;;E4.9791820000;N50.0612460000;9;
1;BEL;Javingue;;;E4.9270530000;N50.0933420000;9;
1;BEL;Honnay;;;E5.0398340000;N50.0809210000;9;
1;BEL;Feschaux;;;E4.9104110000;N50.1507420000;9;
1;BEL;Felenne;;;E4.8479680000;N50.0695170000;9;
1;BEL;Dion;;;E4.8886000000;N50.1177780000;9;
1;BEL;Beauraing;;;E4.9580690000;N50.1093220000;9;
1;BEL;Baronville;;;E4.9426710000;N50.1276640000;9;
1;BEL;Wanlin;;;E5.0613730000;N50.1595800000;9;
1;BEL;Hour;;;E5.0362940000;N50.1609200000;9;
1;BEL;Custinne;;;E5.0470600000;N50.2108230000;9;
1;BEL;Celles, Namur;;;E5.0079770000;N50.2287830000;9;
1;BEL;Mesnil-Saint-Blaise;;;E4.8850010000;N50.1669790000;9;
1;BEL;Mesnil-Eglise;;;E4.9620660000;N50.1641080000;9;
1;BEL;Hulsonniaux;;;E4.9475730000;N50.2014730000;9;
1;BEL;Houyet;;;E5.0115220000;N50.1849760000;9;
1;BEL;Finnevaux;;;E4.9455000000;N50.1580510000;9;
1;BEL;Ciergnon;;;E5.0884750000;N50.1667400000;9;
1;BEL;Petit-Fays;;;E4.9674130000;N49.9018960000;9;
1;BEL;Oizy;;;E5.0086640000;N49.8936000000;9;
1;BEL;Naomé;;;E5.0900980000;N49.9224390000;9;
1;BEL;Monceau-en-Ardenne;;;E4.9854370000;N49.9048560000;9;
1;BEL;Gros-Fays;;;E4.9833240000;N49.8695730000;9;
1;BEL;Graide;;;E5.0667410000;N49.9514560000;9;
1;BEL;Cornimont;;;E4.9983800000;N49.8624710000;9;
1;BEL;Bièvre;;;E5.0164050000;N49.9413730000;9;
1;BEL;Bellefontaine, Namur;;;E4.9727820000;N49.9177160000;9;
1;BEL;Baillamont;;;E5.0265040000;N49.8995760000;9;
1;BEL;Vresse-sur-Semois;;;E4.9324780000;N49.8725740000;9;
1;BEL;Sugny;;;E4.9015890000;N49.8143970000;9;
1;BEL;Pussemange;;;E4.8696990000;N49.8112530000;9;
