Level;Country;Longitude;Latitude;ZoomLevel;Icon
0;NIC;W85;N13;4;places/flags/NIC.gif
0;NIU;W170;S19;6;places/flags/NIU.gif
0;NLD;E5.75;N52.5;4;places/flags/NLD.gif
0;NOR;E10;N62;4;places/flags/NOR.gif
0;NPL;E84;N28;4;places/flags/NPL.gif
0;NRU;E168;S1;5;places/flags/NRU.gif
0;NZL;E174;S41;4;places/flags/NZL.gif
0;OMN;E57;N21;4;places/flags/OMN.gif
0;PAK;E70;N30;4;places/flags/PAK.gif
0;PAN;W80;N9;4;places/flags/PAN.gif
0;PCN;W130;S25;5;places/flags/PCN.gif
0;PER;W76;S10;4;places/flags/PER.gif
0;PHL;E122;N13;4;places/flags/PHL.gif
0;PLW;E134.5;N7.5;5;places/flags/PLW.gif
0;PNG;E147;S6;4;places/flags/PNG.gif
0;POL;E20;N52;4;places/flags/POL.gif
0;PRI;W66.5;N18.25;4;places/flags/PRI.gif
0;PRK;E127;N40;4;places/flags/PRK.gif
0;PRT;W8;N39.5;4;places/flags/PRT.gif
0;PRY;W58;S23;4;places/flags/PRY.gif
0;PSE;E35;N32;7;places/flags/PSE.gif
0;PYF;W148;S17;5;places/flags/PYF.gif
0;QAT;E51.25;N25.5;4;places/flags/QAT.gif
0;REU;E55.6;S21.1;5;places/flags/REU.gif
0;ROM;E25;N46;4;places/flags/ROM.gif
0;RUS;E100;N60;2;places/flags/RUS.gif
0;RWA;E30;S2;4;places/flags/RWA.gif
0;SAU;E45;N25;4;places/flags/SAU.gif
0;SCG;E21;N44;4;places/flags/SCG.gif
0;SCT;W4;N56;4;places/flags/SCT.gif
0;SDN;E30;N15;4;places/flags/SDN.gif
0;SEN;W14;N14;4;places/flags/SEN.gif
0;SGP;E103.8;N1.3667;4;places/flags/SGP.gif
0;SGS;W37;S54.5;5;places/flags/SGS.gif
0;SHN;W5.7;S15.9333;5;places/flags/SHN.gif
0;SJM;E20;N78;4;places/flags/SJM.gif
0;SLB;E159;S8;5;places/flags/SLB.gif
0;SLE;W11.5;N8.5;4;places/flags/SLE.gif
0;SLV;W88.9167;N13.8333;4;places/flags/SLV.gif
0;SMR;E12.4167;N43.7667;6;places/flags/SMR.gif
0;SOM;E49;N10;4;places/flags/SOM.gif
0;SPM;W56.3333;N46.8333;5;places/flags/SPM.gif
0;STP;E7;N1;5;places/flags/STP.gif
0;SUR;W56;N4;4;places/flags/SUR.gif
0;SVK;E19.5;N48.6667;4;places/flags/SVK.gif
0;SVN;E15;N46;4;places/flags/SVN.gif
0;SWE;E15;N62;4;places/flags/SWE.gif
0;SWZ;E31.5;S26.5;4;places/flags/SWZ.gif
0;SYC;E55.6667;S4.5833;5;places/flags/SYC.gif
0;SYR;E38;N35;4;places/flags/SYR.gif
0;TCA;W71.5833;N21.75;5;places/flags/TCA.gif
0;TCD;E19;N15;4;places/flags/TCD.gif
0;TGO;E1.1667;N8;5;places/flags/TGO.gif
0;THA;E100;N15;4;places/flags/THA.gif
0;TJK;E71;N39;4;places/flags/TJK.gif
0;TKL;W172;S9;6;places/flags/TKL.gif
0;TKM;E60;N40;4;places/flags/TKM.gif
0;TLS;E125.55;S8.5;6;places/flags/TLS.gif
0;TON;W175;S20;5;places/flags/TON.gif
0;TTO;W61;N11;5;places/flags/TTO.gif
0;TUN;E9;N34;4;places/flags/TUN.gif
0;TUR;E35;N39;4;places/flags/TUR.gif
0;TUV;E178;S8;5;places/flags/TUV.gif
0;TWN;E121;N23.5;4;places/flags/TWN.gif
0;TZA;E35;S6;4;places/flags/TZA.gif
0;UGA;E32;N1;4;places/flags/UGA.gif
0;UKR;E32;N49;4;places/flags/UKR.gif
0;UMI;E166.6;N19.2833;6;places/flags/UMI.gif
0;URY;W56;S33;4;places/flags/URY.gif
0;USA;W97;N38;4;places/flags/USA.gif
0;UZB;E64;N41;4;places/flags/UZB.gif
0;VAT;E12.45;N41.9;9;places/flags/VAT.gif
0;VCT;W61.2;N13.25;5;places/flags/VCT.gif
0;VEN;W66;N8;4;places/flags/VEN.gif
0;VGB;W64.5;N18.5;5;places/flags/VGB.gif
0;VIR;W64.8333;N18.3333;5;places/flags/VIR.gif
0;VNM;E106;N16;4;places/flags/VNM.gif
0;VUT;E167;S16;5;places/flags/VUT.gif
0;WLF;W176.12;S13.8;5;places/flags/WLF.gif
0;WLS;W4;N53;4;places/flags/WLS.gif
0;WSM;W172.3333;S13.5833;5;places/flags/WSM.gif
0;YEM;E48;N15;4;places/flags/YEM.gif
0;YUG;E21;N44;4;places/flags/YUG.gif
0;ZAF;E24;S29;4;places/flags/ZAF.gif
0;ZMB;E30;S15;4;places/flags/ZMB.gif
0;ZWE;E30;S20;4;places/flags/ZWE.gif
